2022-03-27 11:01:03.888 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:18-Z:16 X = 1195940.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.131 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:2-Z:0 X = 1195620.000000, Y = 0.000000, Z = 5463150.000000
2022-03-27 11:01:05.134 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:5 X = 1196260.000000, Y = 0.000000, Z = 5466350.000000
2022-03-27 11:01:05.184 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:22-Z:16 X = 1196580.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.187 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:23-Z:16 X = 1196740.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.189 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:22-Z:17 X = 1196580.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:05.191 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:23-Z:17 X = 1196740.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:05.193 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:21-Z:16 X = 1196420.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.196 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:21-Z:17 X = 1196420.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:05.254 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:2 X = 1196900.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:05.256 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:2 X = 1197540.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:05.258 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:3 X = 1196900.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:05.261 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:3 X = 1197540.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:05.263 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:2 X = 1196260.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:05.266 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:3 X = 1196260.000000, Y = 0.000000, Z = 5465070.000000CAMERA
2022-03-27 11:01:05.269 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:4 X = 1196900.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.271 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:4 X = 1197540.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.283 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:10-Z:8 X = 1196260.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.286 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:10-Z:9 X = 1196260.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:05.288 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:22-Z:16 X = 1196580.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.291 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:22-Z:17 X = 1196580.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:05.487 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:8 X = 3840.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:05.490 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:8 X = 4160.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:05.492 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:9 X = 3840.000000, Y = 0.000000, Z = 2880.000000
2022-03-27 11:01:05.495 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:9 X = 4160.000000, Y = 0.000000, Z = 2880.000000
2022-03-27 11:01:05.498 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:8 X = 1196900.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.500 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:8 X = 1197220.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.502 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:9 X = 1196900.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:05.505 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:9 X = 1197220.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:05.507 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:11-Z:9 X = 1196580.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:06.271 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:3 X = 1196260.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:06.283 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:3 X = 1196900.000000, Y = 0.000000, Z = 5465070.000000CAMERA
2022-03-27 11:01:06.286 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:24-Z:16 X = 3840.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:06.288 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:25-Z:16 X = 4000.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:06.290 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:24-Z:17 X = 3840.000000, Y = 0.000000, Z = 2720.000000
2022-03-27 11:01:06.292 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:25-Z:17 X = 4000.000000, Y = 0.000000, Z = 2720.000000
2022-03-27 11:01:06.294 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:11-Z:8 X = 1196580.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.296 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:24-Z:16 X = 1196900.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.299 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:25-Z:16 X = 1197060.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.301 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:24-Z:17 X = 1196900.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:06.303 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:25-Z:17 X = 1197060.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:06.305 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:10-Z:8 X = 1196260.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.307 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:11-Z:9 X = 1196580.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:06.351 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:4 X = 1196260.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.353 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:4-Z:4 X = 1195620.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.355 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:3 X = 1196260.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:06.358 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:5 X = 1196260.000000, Y = 0.000000, Z = 5466350.000000
2022-03-27 11:01:06.360 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:9 X = 1196900.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:06.506 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:8 X = 1196900.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.508 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:8 X = 1197220.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.511 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:9 X = 1196900.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:06.622 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:2-Z:1 X = 1195620.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:06.624 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:2-Z:0 X = 1195620.000000, Y = 0.000000, Z = 5463150.000000
2022-03-27 11:01:06.626 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:2 X = 1196900.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:06.633 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:3 X = 1196900.000000, Y = 0.000000, Z = 5465070.000000CAMERA
2022-03-27 11:01:06.636 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:4-Z:4 X = 1195620.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.638 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:5-Z:4 X = 1196260.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.837 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:26-Z:16 X = 4160.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:06.839 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:27-Z:16 X = 4320.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:06.841 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:26-Z:17 X = 4160.000000, Y = 0.000000, Z = 2720.000000
2022-03-27 11:01:06.844 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:27-Z:17 X = 4320.000000, Y = 0.000000, Z = 2720.000000
2022-03-27 11:01:06.846 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:26-Z:16 X = 1197220.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.848 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:27-Z:16 X = 1197380.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.851 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:26-Z:17 X = 1197220.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:06.854 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:27-Z:17 X = 1197380.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:06.902 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:2-Z:2 X = 1195620.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:06.904 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:2-Z:1 X = 1195620.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:06.906 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:2-Z:3 X = 1195620.000000, Y = 0.000000, Z = 5466990.000000
2022-03-27 11:01:06.908 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:5 X = 1196900.000000, Y = 0.000000, Z = 5466350.000000
2022-03-27 11:01:07.121 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:14-Z:8 X = 4480.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:07.123 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:15-Z:8 X = 4800.000000, Y = 0.000000, Z = 2560.000000
2022-03-27 11:01:07.125 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:14-Z:9 X = 4480.000000, Y = 0.000000, Z = 2880.000000
2022-03-27 11:01:07.127 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:15-Z:9 X = 4800.000000, Y = 0.000000, Z = 2880.000000
2022-03-27 11:01:07.130 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:8 X = 1197220.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:07.133 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:14-Z:8 X = 1197540.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:07.135 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:15-Z:8 X = 1197860.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:07.137 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:14-Z:9 X = 1197540.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:07.139 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:15-Z:9 X = 1197860.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:07.141 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:8 X = 1196900.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:07.143 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:9 X = 1197220.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:07.145 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:9 X = 1197220.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:08.290 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:3 X = 1196900.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:08.300 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:3 X = 1197540.000000, Y = 0.000000, Z = 5465070.000000CAMERA
2022-03-27 11:01:09.151 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:3 X = 1196900.000000, Y = 0.000000, Z = 5465070.000000CAMERA
2022-03-27 11:01:09.153 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:3 X = 1197540.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:09.890 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:26-Z:16 X = 1197220.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:09.892 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:27-Z:16 X = 1197380.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:09.894 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:26-Z:17 X = 1197220.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:09.896 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:27-Z:17 X = 1197380.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:09.898 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:4 X = 1197540.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:09.900 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:3 X = 1197540.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:09.902 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:5 X = 1197540.000000, Y = 0.000000, Z = 5466350.000000
2022-03-27 11:01:09.905 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:9 X = 1197220.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:13.609 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:8 X = 1197220.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:13.611 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:8 X = 1196900.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:13.613 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:9 X = 1197220.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:13.805 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:6 X = 3840.000000, Y = 0.000000, Z = 1920.000000
2022-03-27 11:01:13.807 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:6 X = 4160.000000, Y = 0.000000, Z = 1920.000000
2022-03-27 11:01:13.810 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:12-Z:7 X = 3840.000000, Y = 0.000000, Z = 2240.000000
2022-03-27 11:01:13.812 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:13-Z:7 X = 4160.000000, Y = 0.000000, Z = 2240.000000
